track,Album,Artist,release_date,All Time Rank,January,February,March,April,May,June,July,August,September,October,spotify_streams,youtube_streams,YouTube Likes,TikTok Posts,TikTok Likes,tiktok_streams,YouTube Playlist Reach,Apple Music Playlist Count,apple_music_streams,SiriusXM_streams,Deezer Playlist Count,deezer_streams,Amazon Playlist Count,pandora_streams,Pandora Track Stations,soundcloud_streams,Shazam Counts
Fuga Pa Cali 2,La Clase,Grupo Los de la O,11/12/2021,4182,,,,,,,,,,,274559147,225016104,1056037,18000,8935584,98720581,,7,11,4,,,11,10537539,2620,2239350,592764
Fuk Sumn,VULTURES 1,Kanye West,2/9/2024,1375,,,,,,,,,,,120079689,1915309,53533,,1300000,7100000,,6,191,,9,77600,,,,,173216
fukumean,fukumean,Gunna,6/15/2023,39,,,,,,,,,,,759998727,94699547,1222012,1237229,311252391,3281790327,140623676,123,265291,4003,40,2225409,88,64456799,20518,33130829,3945184
Fulanito,Fulanito,Becky G,6/3/2021,2151,,,,,,,,,,,254118106,404064054,2732944,951433,333664664,2737871422,74410741,70,21512,421,13,97011,20,13501079,3852,,821982
Full Senyum Sayang,Full Senyum Sayang,Evan Loss,4/28/2022,333,,,,,,,,,,,18296870,108892433,699306,9893499,340731924,6334463728,15197,1,295,,,,,,,,24326
Funk do Patinho,Funk do Patinho,Bento e Tot�,1/22/2022,887,,,,,,,,,,,16197748,967275295,1562052,31500,2460399,40465134,16,,,,,,,,,,16249
Funk Estranho,Funk Estranho - Single,prod.67,5/31/2024,2902,,,,,,,,,,,3589,,,,,,,1,,,,,,,,,589007
Funny Song,"Vintage Oddities, Vol. 4",Cavendish Music,8/15/2018,1539,,,,,,,,,,,5866282,11793478,230150,12815028,3448214061,38373644011,994101,,961,,2,43501,,24606,1733,,903944
Funny Song,Funny Song,Bruno Portinho Trilhas para filmes,3/7/2023,2310,,,,,,,,,,,,,,2200000,62055632,1572668280,,,,,,,,,,,
Future,Future,official sound studio,1/10/2024,25,,,,,,,,,,,,,,9453333,273236305,4306269694,,,,,,,,,,,
F��S,F��S,Britney Manson,8/11/2023,1808,,,,,,,,,,,140756753,60902734,885239,425901,139431702,982755143,84060916,,11,,2,27804,,378942,1511,,459549
Galaxy Express,Galaxy Express - Single,D Gerrard,1/5/2024,2732,,,,,,,,,,,20710234,89001571,370896,,,,736027111,7,1203,,,,,405,,,58364
"Gali Gali (From ""Kgf Chapter 1"")","Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,12/13/2018,3515,,,,,,,,,,,74027513,1014261335,4638798,,,,105077396,1,1310,,,,2,,,,168398
GALOPA,GALOPA,PEDRO SAMPAIO,9/16/2021,3667,,,,,,,,,,,210287302,312406682,1727224,352725,79097830,1043956869,20077955,17,5343,,36,74508,7,18770,,11458,302042
Galway Girl,�� (Deluxe),Ed Sheeran,3/3/2017,1535,,,,,,,,,,,1311631709,869890899,5960113,3002655,45280966,353002887,104562182,64,72168,72,37,410364,35,111086236,115857,,
Gangnam Style,Hits For Kids 29,PSY,1/1/2012,647,,,,,,,,,,,477162323,5849588091,31460015,146609,64279161,578660460,288553687,93,13151,77,50,208246,21,,,,7977546
Gangsta's Paradise,Gangsta's Paradise (25th Anniversary - Remastered),Coolio,9/25/2020,1945,,,,,,,,,,,1675750095,,,,,,,97,,,1,1689,9,539169583,334159,,
Gangsta's Paradise (feat. L.V.),...And You Don't Stop - A Celebration of 50 Years of Hip Hop,Coolio,8/11/2023,2128,,,,,,,,,,,1666699743,,,,,,,,,,,,,,,,
Gangsta's Paradise (feat. L.V.),Get Ur Freak On - R&B Anthems,Coolio,11/16/2012,4254,,,,,,,,,,,1666699743,1537876575,12732846,,,,411493809,,,,,,,,,,
Gangstas,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,4065,,,,,,,,,,,234889039,121584355,1028988,116976,8193597,118304933,9912,12,224,,3,68030,,18538610,3946,,754490
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Garmi (From ""Street Dancer 3D"")",Badshah,12/26/2019,3154,,,,,,,,,,,129283318,835213852,4972865,227900,8182757,71482445,233218560,12,2080,,,,8,,,,200527
Gas Pedal,Gas Pedal - The EP,Sage The Gemini,3/19/2013,3751,,,,,,,,,,,253903241,25539550,321940,101759,20788928,136052679,,25,4115,14,6,23224,,239853559,1580905,,2408827
GASLIGHT,GASLIGHT,INJI,4/14/2022,1463,,,,,,,,,,,17756452,1602919,27727,4400171,260882262,5068567775,,1,267,56,,,,29804,,,186114
Gata Only,Gata Only,FloyyMenor,2/2/2024,8,,,124908428,205252674,207631191,,171583021,,86634899,,675079153,228382568,1439495,3500000,338546668,3804584163,2112581620,160,17221,30,87,33245595,53,3372428,5762,,6063523
Gata Only,Gata Only - Single,FloyyMenor,12/21/2023,224,,,124908428,205252674,207631191,,171583021,,86634899,,4674619,108313521,990782,2200000,35324159,391444977,1286981,,1,,,,,,,,
GATA ONLY (Con Cris MJ),GATA ONLY (Con Cris MJ),FloyyMenor,2/2/2024,2105,,,,,,,,,,,668280514,,,,,,,,,,,,,,,,
Gata Only (Remix),Gata Only (Remix),FloyyMenor,6/7/2024,4280,,,,,,,,,,,3870862,,,,,,,13,63,,2,344686,46,92898,38,330,14635
Gatita,Gatita,Bellakath,10/5/2022,1184,,,,,,,,,,,218661601,173995566,1354818,1961387,191009331,2353588008,324051,8,13477,600,3,154370,24,4469095,7776,38842,873692
GATITAS SANDUNGUERAS VOL.1,GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,5/16/2024,1946,,,,,,,,,,,41517704,2080156,61973,,,,,22,641,,9,329482,25,256755,49,39407,62200
Gato de Noche,Gato de Noche,��engo Flow,12/22/2022,1547,,,,,,,,,,,427842597,103306657,870677,21809,10011741,92071601,843106,27,11285,11,12,2170401,27,19800808,3028,,688397
GATTI,JACKBOYS,JACKBOYS,12/27/2019,3033,,,,,,,,,,,415532384,182358671,2007300,47600,15330245,130747276,3244559,26,1104,2,14,167567,3,17429773,9449,,855833
GAT��,GAT��,KAROL G,8/26/2022,623,,,,,,,,,,,427247328,547409394,3332851,333197,26378245,275273861,708455030,38,41880,104,24,6138492,41,51711477,9193,,1177588
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,3/26/2020,930,,,,,,,,,,,86295058,1022945729,6994273,5444473,128000154,1953198700,197996975,7,961,,3,2467,7,519209,,,193040
"Genius (feat. Sia, Diplo, and Labrinth)",Genius,Sia,5/3/2018,4449,,,,,,,,,,,563680273,403337582,4716385,832932,53453411,522523747,14782080,,4805,,,,,,,,
Gentleman,Clubland 23,PSY,1/1/2013,4357,,,,,,,,,,,119666188,1772780483,9586155,9999,2649499,33894220,157358059,13,3456,,3,1554,,,,,2559290
Gently (feat. Bad Bunny),For All The Dogs,Drake,10/6/2023,2204,,,,,,,,,,,123630149,18057785,239269,32270,12450697,100624699,407,19,5021,340,7,140361,8,6544882,1899,,761861
GENTO,Gento,SB19,5/19/2023,1631,,,,,,,,,,,44345269,48432004,731621,1803137,184924622,1940568487,36077293,6,858,,,,,142089,281,,139108
Geri D��nem,Geri D��nem,Semicenk,5/5/2023,3702,,,,,,,,,,,111150894,130717641,376889,39900,852150,31451449,7986595,7,,,1,1089,,,,,208321
Get A Guitar,Get A Guitar,RIIZE,9/4/2023,3485,,,,,,,,,,,67887030,106807094,1208052,32698,61647208,430468374,617159135,7,1289,,3,229974,10,49008,152,,170700
Get Back,Meet The Woo 2,Pop Smoke,2/7/2020,3800,,,,,,,,,,,355137565,45164581,408483,684467,61667693,637177334,15755,7,154,,3,1969,2,14235351,8123,,1086060
get him back!,GUTS,Olivia Rodrigo,9/8/2023,971,,,,,,,,,,,287724574,54771296,818500,485830,47532963,469327093,1298782751,47,56,34,29,1998239,43,6371213,20559,910103,770996
get him back!,GUTS,Olivia Rodrigo,9/8/2023,2140,,,,,,,,,,,287164579,,,,,,,15,160631,,,,,,,,
Get In With Me,Get In With Me - Single,Bossman Dlow,1/19/2024,818,,,,,,,,,,,39401314,45484183,363079,,7309300,46178900,305726555,31,68432,2757,6,905095,34,10802316,10738,,607813
Get Into It (Yuh),Planet Her,Doja Cat,6/25/2021,895,,,,,,,,,,,603196133,265715680,3742969,1300477,823930204,7709942104,125603487,55,228888,4500,17,198575,8,53920294,27170,,2436551
Get Involved (feat. Q-Tip) [Mixed],Joe Kay: welcome to the aprtment (DJ Mix),Raphael Saadiq,6/7/2024,3069,,,,,,,,,,,,,,,,,,,,,,,,,,,310645
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,185,,,,,,,,,,,89362910,37676729,525264,361700,71058620,476545000,126493852,52,52534,976,4,57534,58,10234988,14251,2263132,514293
Get Off The Wall,Get Off The Wall,Philly Goats,6/2/2023,2926,,,,,,,,,,,8470479,8291412,112395,1400151,60596180,503891783,,2,277,11,,,3,467480,1111,,170102
Get You (feat. Kali Uchis),Get You - Single,Daniel Caesar,10/21/2016,2056,,,,,,,,,,,1024198691,251585070,1895986,30755,14835570,101238385,651349,172,15813,138,12,35304,36,113844720,71863,58680550,4056356
Get You The Moon (feat. Snow),Get You The Moon (feat. Snow),Kina,10/8/2018,1270,,,,,,,,,,,1020435750,199282045,3250046,4868621,2193688729,21650351404,20366285,70,2225,95,51,819864,13,91698638,75258,958439,7130025
Ghost,Justice,Justin Bieber,3/19/2021,283,,,,,,,,,,,1586830204,476319277,4622504,797409,122390348,1180485094,2976186938,119,844492,3180,114,303462,49,129493114,54497,,4413143
GHOST TOWN,GHOST TOWN,Benson Boone,10/15/2021,2612,,,,,,,,,,,382177076,78537068,806081,146179,60677641,629205287,968287446,46,105931,115,22,651078,14,27159277,7396,,1864419
GHOST!,GHOST!,phonk.me,12/2/2022,3713,,,,,,,,,,,127080399,62472711,883285,,,,,7,,,5,124957,,423039,354,8501292,311493
Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),Calvin Harris,1/11/2019,3119,,,,,,,,,,,670319557,432616080,2355880,10926,2601510,29055589,409691633,135,138101,11,141,1428820,37,1078617,6621,,32382
GigaChad Theme - Phonk House Version,GigaChad Theme (Phonk House Version),g3ox_em,8/22/2022,2571,,,,,,,,,,,282776356,152603363,1541141,64,255172,1672858,23643910,13,677,,6,105684,8,1120269,4144,,1358899
Gimme Love,Gimme Love,Sia,9/13/2023,843,,,,,,,,,,,105947434,27707323,325476,688,463074,12855128,1157866791,55,224009,172,40,23048308,21,1319886,112,,1684376
Gimme Love,Gimme Love (Channel Tres Remix),Joji,4/10/2020,4262,,,,,,,,,,,379518360,127485188,2075278,289937,104902966,653804560,446457,26,3011,18,18,56573,12,2680360,5712,,575207
Gimmie A Light,Gimmie A Light,Ice Spice,5/10/2024,3692,,,,,,,,,,,8734499,4823719,124556,,,,67008965,22,3397,415,13,453247,59,413454,206,287439,39843
Ginseng Strip 2002,Lavender - Single,Yung Lean,1/1/2013,4202,,,,,,,,,,,276992369,126116178,2585938,8515109,1684766527,17759263793,118201104,10,393,423,12,66615,,967609,4145,,3822373
Ginza,Ginza,J Balvin,6/23/2015,2974,,,,,,,,,,,521328627,1067816466,5198462,33185,18603137,122727381,257780993,125,18715,519,54,929374,59,221490314,134205,,8748575
Girl,Easy Money Baby,Myke Towers,1/24/2020,3523,,,,,,,,,,,358885100,386760006,2110339,256873,40681006,384081312,20323581,35,8648,,4,47015,8,12496355,6427,,921816
GIRL LIKE ME,Translation,Black Eyed Peas,6/18/2020,2996,,,,,,,,,,,529297852,791895421,5811346,,,,1758509489,21,,,1,3985,,,,,
GIRL LIKE ME,Translation,Black Eyed Peas,6/18/2020,3547,,,,,,,,,,,529404392,53885408,433692,196204,74062960,583303862,,111,125643,16,65,1728539,36,61848715,25690,,4139682
Girl On Fire,NRJ Music Awards 2013,Alicia Keys,1/1/2012,3620,,,,,,,,,,,646295324,719570982,5771711,1767171,100602291,1264756176,233120548,112,132465,164,67,216702,33,130538038,461006,,5809958
girl$,girl$,Dom Dolla,6/7/2024,2235,,,,,,,,,,,1920905,78608,3629,,,,,33,276,2,22,987568,39,32222,31,89193,12191
